 ⠙ ⠸ ⠼ ⠴ ⠦ ⠧ ⠇ ⠇ ⠏ ⠙ ⠹ ⠸ ⠼ ⠴ ⠦ ⠧ ⠧ fly plane1 airport1 airport2
drive truck1 loc1 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
unload pkg3 truck2 loc2
fly plane1 airport1 airport2
drive truck2 loc2 loc1
Process terminated due to timeout after 120 seconds
